0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"(174, 368)","(208, 346)","(231, 313)","(247, 284)","(262, 263)","(190, 263)","(196, 223)","(198, 197)","(198, 176)","(163, 262)","(159, 217)","(155, 191)","(150, 169)","(140, 271)","(126, 231)","(116, 206)","(108, 185)","(120, 289)","(99, 262)","(84, 245)","(72, 228)"
"(205, 375)","(235, 345)","(254, 304)","(266, 272)","(276, 247)","(209, 260)","(211, 219)","(214, 195)","(216, 174)","(186, 262)","(180, 218)","(177, 190)","(173, 167)","(166, 273)","(158, 229)","(154, 201)","(151, 178)","(147, 290)","(131, 259)","(121, 238)","(113, 219)"
"(179, 369)","(208, 337)","(226, 297)","(237, 264)","(245, 238)","(177, 256)","(178, 215)","(178, 190)","(177, 169)","(153, 259)","(144, 214)","(138, 186)","(131, 164)","(131, 271)","(119, 227)","(112, 201)","(107, 180)","(112, 289)","(94, 260)","(81, 240)","(70, 222)"
"(179, 372)","(208, 339)","(224, 297)","(234, 264)","(240, 237)","(176, 257)","(175, 216)","(175, 191)","(174, 170)","(152, 261)","(142, 216)","(135, 188)","(128, 166)","(131, 273)","(118, 229)","(111, 202)","(106, 180)","(111, 292)","(93, 262)","(80, 242)","(70, 224)"
"(181, 367)","(209, 334)","(225, 293)","(234, 259)","(240, 232)","(177, 253)","(176, 213)","(176, 188)","(175, 168)","(153, 257)","(144, 213)","(137, 186)","(131, 163)","(132, 269)","(120, 226)","(113, 200)","(108, 179)","(113, 288)","(95, 259)","(83, 239)","(72, 221)"
"(181, 368)","(209, 335)","(225, 293)","(234, 259)","(240, 232)","(177, 254)","(177, 213)","(176, 189)","(175, 168)","(153, 258)","(143, 213)","(137, 186)","(131, 163)","(132, 270)","(119, 227)","(113, 200)","(108, 179)","(113, 290)","(95, 260)","(83, 240)","(73, 221)"
"(182, 369)","(210, 335)","(225, 293)","(234, 259)","(240, 232)","(177, 254)","(176, 213)","(176, 189)","(175, 168)","(153, 258)","(144, 213)","(137, 186)","(131, 163)","(132, 270)","(120, 227)","(113, 200)","(108, 179)","(114, 289)","(95, 259)","(83, 239)","(73, 221)"
"(183, 368)","(211, 335)","(226, 292)","(234, 259)","(240, 232)","(178, 254)","(177, 213)","(178, 189)","(178, 168)","(154, 257)","(144, 213)","(138, 186)","(131, 163)","(134, 269)","(121, 227)","(113, 200)","(108, 179)","(115, 288)","(97, 258)","(84, 239)","(74, 220)"
"(183, 367)","(211, 334)","(226, 292)","(234, 259)","(240, 232)","(178, 254)","(177, 213)","(177, 188)","(176, 168)","(154, 258)","(144, 213)","(138, 185)","(131, 163)","(133, 269)","(121, 226)","(113, 200)","(108, 178)","(115, 288)","(96, 258)","(84, 239)","(73, 221)"
"(183, 366)","(211, 334)","(228, 292)","(238, 259)","(245, 233)","(180, 253)","(180, 213)","(179, 189)","(178, 168)","(156, 256)","(146, 212)","(140, 185)","(133, 163)","(135, 268)","(123, 225)","(116, 199)","(111, 178)","(116, 287)","(98, 257)","(85, 237)","(74, 220)"
"(178, 361)","(208, 331)","(227, 292)","(239, 260)","(246, 235)","(178, 251)","(179, 210)","(178, 185)","(176, 165)","(154, 254)","(145, 209)","(138, 182)","(131, 161)","(133, 264)","(121, 222)","(114, 196)","(109, 176)","(113, 282)","(95, 253)","(83, 234)","(73, 217)"
"(178, 359)","(208, 329)","(228, 291)","(240, 259)","(248, 234)","(178, 249)","(179, 208)","(178, 183)","(177, 163)","(154, 252)","(145, 207)","(138, 180)","(131, 158)","(132, 263)","(120, 220)","(113, 195)","(107, 175)","(113, 281)","(94, 252)","(82, 234)","(72, 217)"
"(176, 356)","(206, 326)","(226, 288)","(238, 256)","(247, 231)","(177, 246)","(178, 205)","(177, 181)","(175, 160)","(152, 248)","(142, 204)","(135, 177)","(129, 155)","(130, 259)","(116, 218)","(108, 192)","(102, 171)","(111, 278)","(91, 249)","(77, 231)","(66, 213)"
"(176, 354)","(205, 324)","(224, 286)","(236, 255)","(244, 230)","(177, 244)","(178, 204)","(178, 179)","(176, 159)","(152, 247)","(143, 202)","(136, 176)","(130, 155)","(130, 258)","(118, 216)","(110, 191)","(104, 170)","(111, 276)","(92, 248)","(79, 229)","(69, 212)"
